,Key,String,,,,
6,,"Unlimited Dramas, TV Shows, and Webcomics","Acesso ilimitado a dramas, programas e webcomics","Dramas, programas de televisión y webcómics ilimitados",无限量观看剧集、电视节目和网络漫画,"Không Giới Hạn Phim, Chương Trình Truyền Hình và Truyện Tranh Webcomics"
2,,Single Profile,Perfil Único,Perfil único,单个个人资料夹,Tài Khoản Đơn Lẻ
9,,Select Countries May Experience Brief Ads Before Program Begin,Alguns países podem exibir breves anúncios antes do início do conteúdo,Algunos países pueden experimentar anuncios breves antes de que comience el programa.,部分国家/地区的节目开始前可能会有短暂广告,Một Số Quốc Gia Được Chọn Có Thể Xuất Hiện Quảng Cáo Ngắn Trước Khi Chương Trình Bắt Đầu
3,,Start Premium Monthly,Assinar plano Premium mensal,Comenzar suscripción Premium mensual,开启高级月付计划,Bắt Đầu Gói Cao Cấp Hàng Tháng
3,,Start Basic Monthly,Assinar plano Básico mensal,Comenzar suscripción Básico mensual,开启基础月付计划,Bắt Đầu Gói Cơ Bản Hàng Tháng
2,,Compare Plan,Comparar planos,Comparar plan,比较套餐,So Sánh Gói
6,,What's included with the Premium subscription?,O que está incluído na assinatura Premium?,¿Qué incluye la suscripción Premium?,高级订阅包含哪些内容？,Gói đăng ký Cao cấp bao gồm những gì?
5,,Get Started With Premium Access,Comece Seu Acesso Premium,Comenzar con acceso Premium,开启高级通行证,Bắt Đầu Với Quyền Truy Cập Cao Cấp
14,,"Try it free for 14 days, then just $7.99/month. Available only for first-time users.","Experimente grátis por 14 dias, e depois apenas $7.99 por mês. Disponível apenas para novos usuários.","Pruébalo gratis durante 14 días, luego solo $7.99 al mes. Disponible solo para usuarios nuevos.",免费试用14天，之后仅需 $7.99/月。仅限首次用户。,"Dùng thử miễn phí 14 ngày, sau đó chỉ $7.99/tháng. Áp dụng cho người dùng mới."
23,,"After your free trial ends, your subscription will automatically renew as a paid plan. Cancel anytime before the trial ends to avoid charges.","Após o término do período de teste grátis, sua assinatura será renovada automaticamente como um plano pago. Cancele a qualquer momento antes do fim do teste para evitar cobranças.","Una vez finalizada la prueba gratis, la suscripción se renovará automáticamente como un plan de pago. Cancela en cualquier momento antes de que finalice la prueba para evitar cargos.",免费试用结束后，您的订阅将自动续订为付费计划。如需避免收费，请务必在试用期结束前取消。,"Sau khi thời gian dùng thử miễn phí kết thúc, gói đăng ký của bạn sẽ tự động gia hạn thành gói trả phí. Hủy bất cứ lúc nào trước khi thời gian dùng thử kết thúc để tránh bị tính phí."
3,,What is KOCOWA+?,O que é KOCOWA+?,¿Qué es KOCOWA+?,什么是 KOCOWA+？,KOCOWA+ là gì?
25,,"KOCOWA is an online premium streaming service which delivers Korean drama series, variety shows and K-POP shows from KBS, MBC, SBS and other content partners.","KOCOWA+ é um serviço de streaming premium que oferece dramas coreanos, reality shows e programas de K-POP das emissoras KBS, MBC, SBS e de outros parceiros de conteúdo.","KOCOWA es un servicio de streaming premium en línea que ofrece series dramáticas coreanas, programas de variedades y programas de K-POP de KBS, MBC, SBS y otros socios de contenido.",KOCOWA是一项高级在线流媒体服务，提供来自 KBS、MBC、SBS 及其他内容合作伙伴的韩剧、综艺节目和 K-POP 内容。,"KOCOWA là dịch vụ phát trực tuyến cao cấp, cung cấp các bộ phim Hàn Quốc, chương trình tạp kỹ và chương trình K-POP từ KBS, MBC, SBS cùng các đối tác nội dung khác."
5,,Where can I watch KOCOWA+?,Onde posso assistir ao KOCOWA+?,¿Dónde puedo ver KOCOWA+?,我可以在哪里观看KOCOWA+？,Tôi có thể xem KOCOWA+ ở đâu?
8,,How do I start the 14-day free trial?,Como faço para iniciar o teste grátis de 14 dias?,¿Cómo puedo iniciar la prueba gratis de 14 días?,如何开始14天免费试用？,Làm thế nào để bắt đầu dùng thử miễn phí 14 ngày?
20,,We offer the 14-day free trial with our monthly subscription if you have never had a subscription plan with us.,"Oferecemos o teste grátis de 14 dias na nossa assinatura mensal, caso você nunca tenha tido um plano de assinatura conosco.",Ofrecemos una prueba gratis de 14 días con nuestra suscripción mensual si nunca has tenido un plan de suscripción con nosotros.,如果您从未订阅过我们的套餐，我们为月付订阅用户提供14天免费试用。,Chúng tôi cung cấp bản dùng thử miễn phí 14 ngày với gói đăng ký hàng tháng nếu bạn chưa từng có gói đăng ký nào với chúng tôi.
7,,How to use a promotional coupon(Promo Code)?,Como usar um cupom promocional (Código Promocional)?,¿Cómo usar un cupón promocional (Código de Promo)?,如何使用促销优惠券（优惠码）？,Cách sử dụng phiếu giảm giá khuyến mãi (Mã Khuyến Mãi)
22,,"To redeem a promo code, simply enter it during the checkout process. Make sure to select a plan that matches your coupon.","Para resgatar um código promocional, basta inseri-lo durante o processo de pagamento. Certifique-se de selecionar o plano correspondente ao seu cupom.","Para canjear un código promocional, ingrésalo durante el proceso de pago. Asegúrate de seleccionar un plan que coincida con el cupón.",要兑换优惠码，只需在结算过程中输入即可。请确保选择与您的优惠券相匹配的套餐。,"Để đổi mã khuyến mãi, chỉ cần nhập mã trong quá trình thanh toán. Hãy đảm bảo chọn gói dịch vụ phù hợp với phiếu giảm giá của bạn."
2,,Need help?,Precisa de ajuda?,¿Necesitas ayuda?,需要帮助吗？,Cần hỗ trợ?
5,,How much does KOCOWA+ cost?,Quanto custa o KOCOWA+?,¿Cuánto cuesta KOCOWA+?,KOCOWA+ 的费用是多少？,KOCOWA+ giá bao nhiêu?
3,,Get Started Now,Comece Agora,Comenzar ahora,立即开启,Bắt Đầu Ngay
11,,"Watch anytime, anywhere, with the official app for IOS and Android.","Assista a qualquer hora, em qualquer lugar, com o aplicativo oficial para iOS e Android.","Ver en cualquier momento y en cualquier lugar, con la aplicación oficial para iOS y Android.",通过官方IOS和Android应用，随时随地观看。,"Xem mọi lúc, mọi nơi, với ứng dụng chính thức trên IOS và Android."
3,,Account Deletion Notice,Aviso de Exclusão de Conta,Aviso de eliminación de cuenta,账户删除通知,Thông Báo Xóa Tài Khoản
20,,"This ODK account does not support the delete function.\nIf you wish to delete your account, please contact our Help Center.","Esta conta ODK não oferece suporte à função de exclusão. Se deseja excluir sua conta, entre em contato com a nossa Central de Ajuda.","Esta cuenta de ODK no admite la función de eliminación.\nSi deseas eliminar tu cuenta, comunícate con nuestro Centro de ayuda.",此ODK账户不支持删除功能。\n如果您希望删除账户，请联系我们的帮助中心。,"Tài khoản ODK này không hỗ trợ chức năng xóa. \nNếu bạn muốn xóa tài khoản, vui lòng liên hệ Trung Tâm Hỗ Trợ của chúng tôi."
4,s_freetrialnotincluded,Free trial not included.,Período de teste não incluído.,Prueba gratis no incluida.,不包含免费试用。,Không bao gồm bản dùng thử miễn phí.
2,w_checkavailability,Check Availability,Verificar disponibilidade,Comprobar disponibilidad,检查可用性,Kiểm Tra Tình Trạng Khả Dụng
2,s_tryagain,Try Again,Tente novamente,Inténtalo de nuevo,重试,Thử Lại
33,s_gui_notalllang,"If the selected subtitle language is not available, English subtitles will be displayed by default, and if you change the subtitle language during playback, your selection will be saved as the new default.","Se o idioma de legenda selecionado não estiver disponível, as legendas em inglês serão exibidas automaticamente. Se você alterar o idioma durante a reprodução, sua escolha será salva como padrão.","Si el idioma de los subtítulos seleccionado no está disponible, los subtítulos en inglés se mostrarán por defecto. Si cambias el idioma durante la reproducción, tu selección se guardará como el nuevo idioma predeterminado.",若不支持所选字幕语言，将默认显示英文字幕，若您在播放过程中更改字幕语言，您的选择将被保存为新的默认设置。,"Nếu ngôn ngữ phụ đề bạn chọn không khả dụng, phụ đề tiếng Anh sẽ được hiển thị mặc định. Nếu bạn thay đổi ngôn ngữ phụ đề trong khi xem, lựa chọn của bạn sẽ được lưu làm mặc định mới."
2,w_dubbinglang,Dubbing Language,Idioma da dublagem,Idioma de doblaje,配音语言,Ngôn Ngữ Lồng Tiếng
1,w_every,Every,Todos,Cada,每一个,Mỗi
1,w_updates,Updates,Atualizações,Actualizaciones,更新,Cập nhật
1,w_frequent,Frequent,Frequentes,Frecuente,频繁,Thường xuyên
30,s_gui_notdublang,"If the selected dubbing language is unavailable, dubbing audio will not be played. When the dubbing languege is changed during playback, the newly selected language is saved as the default.","Se o idioma de dublagem selecionado não estiver disponível, o áudio dublado não será reproduzido. Ao alterar o idioma de dublagem durante a reprodução, o novo idioma selecionado será salvo como padrão.","Si el idioma de doblaje seleccionado no está disponible, no se reproducirá el audio. Al cambiar el idioma de doblaje durante la reproducción, el nuevo idioma seleccionado se guarda como predeterminado.",如果所选配音语言不可用，将不会播放配音音频。当在播放期间更改配音语言时，新选择的语言将保存为默认设置。,"Nếu ngôn ngữ lồng tiếng đã chọn không khả dụng, âm thanh lồng tiếng sẽ không phát. Khi ngôn ngữ lồng tiếng được thay đổi trong lúc phát, ngôn ngữ mới được chọn sẽ được lưu làm mặc định."
2,s_lastupdated,Last Updated,Última atualização,Última actualización,最后更新,Cập Nhật Lần Cuối
3,w_removeitem,Remove for List,Remover da lista,Eliminar de la lista,从列表中移除,Xóa Khỏi Danh Sách
2,s_viewdetail,View Detail,Ver detalhes,Ver detalle,查看详情,Xem Chi Tiết
2,s_save_percent,Save [rate]%,Economize [rate]%,Ahorra [tasa]%,保存[进度]%,Lưu [tỉ lệ]%
2,s_removeepi,Remove Episode?,Remover episódio?,¿Eliminar episodio?,移除剧集？,Xóa Tập?
1,w_remove,Remove,Remover,Eliminar,移除,Xóa
14,s_removeepicontinuewatching,Are you sure you want to remove this episode from your Continue Watching list?,Tem certeza de que deseja remover este episódio da sua lista Continuar Assistindo?,¿Estás seguro de que deseas eliminar este episodio de tu lista de Continuar viendo?,您确定要将此剧集从继续观看列表中移除吗？,Bạn có chắc muốn xóa tập này khỏi danh sách Xem Tiếp không?
4,s_billedyear,Billed once a year,Cobrado anualmente,Facturado anualmente,每年计费一次,Thanh toán hàng năm
3,s_billedmonth,Billed every month,Cobrado mensalmente,Facturado mensualmente,每月计费,Thanh toán hàng tháng
4,s_billedNmonths,Billed every [N] months,Cobrado a cada [N] meses,Facturado cada [N] meses,每[N]个月计费,Thanh toán mỗi [N] tháng
1,w_months,Months,Meses,Meses,月,Tháng
1,w_best,Best,Melhor,Mejor,最佳,Tốt nhất
1,w_this,This,"Esta (for days ending in ""a"" segunda, terça, quarta, quinta, sexta) Este ( for days ending in ""o"") sábado, domingo)",Este,本,Tập Này
3,s_noti_live_title,Live Viewing Reservation,Notificação de transmissão ao vivo,Reserva para ver en vivo,直播观看预约,Đặt Lịch Xem Trực Tiếp
3,s_openlivechat,Open LIVE Chat,Abrir chat ao vivo,Abrir chat en vivo,打开直播聊天,Mở Trò Chuyện TRỰC TIẾP
3,s_sendmsg,Send a Message,Enviar mensagem,Enviar mensagem,发送消息,Gửi Tin Nhắn
5,s_scheduleend,All schedule content has ended.,Toda a programação ao vivo foi encerrada.,Todo el contenido de la programación ha finalizado.,所有预定内容已结束。,Tất cả nội dung theo lịch đã kết thúc.
1,w_schedule,Schedule,Programação,Programación,节目表,Lịch phát
7,s_livebegin,The live show in about to begin.,O programa ao vivo está prestes a começar.,El programa en vivo está a punto de comenzar.,直播节目即将开始。,Chương trình trực tiếp sắp bắt đầu.
3,s_startin,Start in %s,Começa em %s,Comienza en %s,在%s开始,Bắt đầu sau %s
4,s_livestartingnow,Live Event Starting Now,O evento ao vivo vai começar.,Evento en vivo comenzando ahora,直播活动现在开始,Sự Kiện Trực Tiếp Bắt Đầu Ngay Bây Giờ
11,s_livestartingnowdesc,"%s' is starting now.
Click Watch Now to join the live stream.","""%s"" está começando agora.
Clique em ""Assistir agora"" para entrar na transmissão ao vivo.","%s' está comenzando ahora.
Haz clic en ""Ver ahora"" para unirte a la transmisión en vivo.","已在%s‘开始。
点击立即观看加入直播流。",Bắt đầu lúc %s. Nhấn Xem Ngay để tham gia livestream.
2,w_watchnow,Watch Now,Assistir agora,Ver ahora,立即观看,Xem Ngay
4,s_nolivecontentavailable,No Live Content Available,Nenhum conteúdo ao vivo disponível,No hay contenido en vivo disponible,无可用直播内容,Không Có Nội Dung Trực Tiếp
8,s_nolivecontentavailabledesc,There are no live broadcasts at the moment.,Não há transmissões ao vivo no momento.,No hay transmisiones en vivo en este momento.,当前没有直播节目。,Hiện tại không có chương trình trực tiếp.
2,w_watchparty,Watch Party,Watch Party,Watch Party,观看派对,Xem Chung
1,w_this,This,"(see explanation line 244) Esta (segunda, terça, quarta, quinta, sexta.). Este (sábado, domingo)",Este,本,Tập Này
1,w_off_upper,OFF,DESLIGADO,DESACTIVADO,关闭,TẮT
3,s_playingontv,Playing on TV,Reproduzindo na TV,Reproducción en TV,投屏,Đang phát trên TiVi
5,s_watchnotificationset,Watch Notification has been set.,Lembrete de exibição ativado.,Notificación para ver activada.,观看通知已设置。,Thông Báo Xem đã được thiết lập
5,s_watchnotificationcanceled,Watch Notification has been canceled.,Lembrete de exibição cancelado.,Notificación para ver cancelada.,观看通知已取消。,Thông Báo Xem đã hủy
5,s_leaveviewdetail,Leave Live to View Detail?,Sair da Transmissão ao Vivo para Ver Detalhes?,¿Dejar la transmisión en vivo para ver los detalles?,离开直播以查看详情？,Rời Trang Trực Tiếp Để Xem Chi Tiết
14,s_redirectcontentdetail,"Your live stream will stop, and you’ll be redirected to the content detail screen.",A transmissão ao vivo será encerrada e você será redirecionado para a página de detalhes do conteúdo.,Tu transmisión en vivo se detendrá y serás redirigido a la pantalla de detalles del contenido.,您的直播流将停止，并将重新定向到内容详情屏幕。,LLivestream sẽ dừng và bạn sẽ được chuyển hướng đến màn hình chi tiết nội dung.
1,w_go_upper,GO,IR,IR,进入,ĐI
2,s_subscriptionrequired,Subscription Required,Assinatura necessária,Se requiere suscripción,需要订阅,Yêu Cầu Đăng Ký
12,s_subscribersonly,"This content is available to subscribers only. To continue watching, please subscribe.","Este conteúdo é exclusivo para assinantes. Para continuar assistindo, por favor, faça sua assinatura.","Este contenido está disponible solo para suscriptores. Para continuar viendo, por favor suscríbete.",此内容仅对订阅者可用。如要继续观看，请订阅。,"Nội dung này chỉ dành cho thành viên đăng ký. Để tiếp tục xem, vui lòng đăng ký."
2,w_subscribenow,Subscribe Now,Assinar agora,Suscríbete ahora,立即订阅,Đăng Ký Ngay
3,s_conflictingwatch,Conflicting Watch Reminder,Conflito de lembrete,Recordatorio para ver en conflicto,冲突的观看提醒,Trùng Lịch Nhắc Xem
23,s_samestartremind,"You already have a watch reminder set for the same start.
Do you want to delete the existing reminder and add the new one?",Você já tem um lembrete de exibição definido para o mesmo horário. Deseja excluir o lembrete existente e adicionar o novo?,Ya existe un recordatorio para ver para el mismo inicio. ¿Deseas eliminarlo y crear uno nuevo?,"您已为同一开始时间设置了观看提醒。
是否要删除现有提醒并添加新提醒？",Bạn đã đặt lời nhắc xem cùng thời gian bắt đầu. Bạn có muốn xóa nhắc hiện có và thêm nhắc mới không?
1,w_replace,Replace,Substituir,Reemplazar,替换,Thay thế
1,w_dubbing,Dubbing,Dublagem,Doblaje,配音,Lồng tiếng
1,w_picks,Picks,Recomendados,Selecciones,精选,Nổi Bật
2,w_weekago,week ago,Há uma semana,Hace una semana,一周前,tuần trước
3,s_newcontentpremiere,New Content Premiere,Estreia de novo conteúdo,Estreno de nuevo contenido,新内容首播,Ra Mắt Nội Dung Mới
3,w_nextepisode,Next: Episode {N},Próximo: Episódio {N},Siguiente: Episodio {N},下一集：第{N}集,Tập Tiếp Theo: Tập {N}
6,s_subtitlegeneratedai,This subtitle was generated by AI,Legenda gerada por IA,Este subtítulo fue generado por IA,本字幕由AI生成,Phụ đề này được tạo bởi AI.
9,,Each account is eligible for one 14-day free trial,Cada conta pode aproveitar um teste gratuito de 14 dias.,Cada cuenta es elegible para una prueba gratuita de 14 días.,每个账户可享一次14天免费试用,Mỗi tài khoản được một lần dùng thử miễn phí trong 14 ngày.
7,s_commit6months,Commit for 6 months and save more,Assine por 6 meses e economize mais,Elige seis meses y ahorra más,订阅6个月即可节省更多,Đăng ký 6 tháng để tiết kiệm hơn.
3,w_contentviewage,Age Restriction Notice,Aviso de Restrição Etária,Aviso de restricción de edad,年龄限制提示,Thông Báo Giới Hạnh Độ Tuổi
17,s_pro_notallowcontent,"This content is restricted due to age limitations.
Only viewers above the required age can watch this content.","Conteúdo restrito por classificação indicativa.
Disponível apenas para usuários acima da idade permitida.","Contenido restringido por clasificación indicativa.
Disponible solo para usuarios mayores de la edad permitida.","此内容因年龄限制而受限。
仅达到规定年龄的观众可观看此内容。",Nội dung này bị giới hạn do quy định về độ tuổi. Chỉ những người xem đủ độ tuổi yêu cầu mới có thể xem nội dung này.
1,w_notified,Notified,Notificado,Notificado,已通知,Đã bật thông báo
2,w_notifyme,Notify Me,Notificar,Notificar,通知我,Thông báo cho tôi 
2,s_viewall,View All,Ver tudo,Ver todo,查看全部,Xem Tất Cả
3,s_chatended,Chat has ended,Chat encerrado,Chat finalizado,聊天已结束,Cuộc Trò Chuyện Đã Kết Thúc
76,s_web_checkoutterm_entire,"The final price, which may change due to taxes, will be reflected on the button. I understand that I will be charged after the free trial ends and my subscription will automatically renew at the price stated above at the start of each billing period unless I cancel. I can cancel any time prior to the upcoming billing date to avoid being charged. To cancel, go to [Your Account] -> [Payment] and click on 'Cancel Plan’.","O preço final, que pode variar devido aos impostos, será exibido no botão. Entendo que serei cobrado quando o teste gratuito terminar e que minha assinatura será renovada automaticamente pelo valor informado acima no início de cada ciclo, a menos que eu cancele. Posso cancelar a qualquer momento antes da próxima data de cobrança para não ser cobrado. Para cancelar, acesse [Sua Conta] → [Pagamento] e selecione 'Cancelar plano'.","El precio final, que puede cambiar debido a los impuestos, se reflejará en el botón. Entiendo que se me cobrará después de que finalice la prueba gratis y que mi suscripción se renovará automáticamente al precio indicado anteriormente al comienzo de cada periodo de facturación, a menos que la cancele. Puedo cancelar en cualquier momento antes de la próxima fecha de facturación para evitar que se me cobre. Para cancelar, ve a [Mi cuenta] -> [Pago] y haz clic en 'Cancelar plan'.",最终价格可能因税费而变动将在按钮上显示。我已理解并知晓在免费试用期结束后，我将被收费，并且除非我取消订阅，否则我的订阅将在每个账单周期开始时以上述价格自动续订。我可以在下一个账单日期前的任何时间取消，以避免被收费。要取消，请前往[你的账户] -> [付款]并点击“取消订阅”。,"Giá cuối cùng có thể thay đổi tùy theo thuế và sẽ được hiển thị trực tiếp trên nút bấm. Tôi hiểu rằng tôi sẽ bị tính phí sau khi thời gian dùng thử miễn phí kết thúc và gói đăng ký của tôi sẽ tự động gia hạn với mức giá nêu trên vào đầu mỗi kỳ thanh toán trừ khi tôi hủy. Tôi có thể hủy bất kỳ lúc nào trước ngày thanh toán tiếp theo để tránh bị tính phí. Để hủy, vui lòng truy cập [Your Account] -> [Payment] và nhấp vào ‘Hủy Gói Dịch Vụ’."
19,s_only_for_eu_bystatringyoursubs,"By starting your subscription immediately, you expressly consent to forfeiting your 14-day right of withdrawal from the KOCOWA+ service.","Ao iniciar sua assinatura agora, você concorda expressamente em abrir mão do direito de desistência de 14 dias do serviço KOCOWA+","Al iniciar tu suscripción de inmediato, aceptas expresamente renunciar a tu derecho de desistimiento de 14 días del servicio KOCOWA+.",立即开始订阅即表示您明确同意放弃KOCOWA+服务的14天撤销权。,"Bằng việc bắt đầu gói đăng ký ngay lập tức, bạn đã đồng ý từ bỏ quyền hủy bỏ dịch vụ trong vòng 14 ngày đối với dịch vụ KOCOWA+"
5,w_koreandramaandtvshows,Korean Drama & TV shows,Dramas e programas de TV coreanos,Series y programas de TV coreanos,韩剧&电视节目,Phim & Chương Trình Truyền Hình Hàn Quốc
9,s_watchtoprated,"Watch top-rated K-dramas and TV shows, only available here!","Assista aos K-dramas e programas de TV mais bem avaliados, disponíveis apenas aqui!","¡Disfruta de los mejores K-dramas y series de TV, disponibles solo aquí!",观看顶级韩剧和电视节目，仅享于此！,"Xem ngay những bộ phim và chương trình truyền hình Hàn Quốc ăn khách nhất, chỉ có tại đây!"
4,s_gui_minimumrequired,Minimum 2 characters required.,Mínimo de 2 caracteres.,Se requieren al menos 2 caracteres.,至少需要2个字符。,Yêu cầu tối thiểu 2 ký tự.
24,s_only_for_eu_bystatringyoursubs,"After starting your subscription, you consent to forfeit your 14-day right of withdrawal from the KOCOWA+ service once you access and use KOCOWA+ materials.","Ao iniciar sua assinatura agora, você autoriza o acesso imediato ao conteúdo e concorda em renunciar ao seu direito de arrependimento de 14 dias após acessar e utilizar o conteúdo do KOCOWA+.","Al iniciar tu suscripción, aceptas renunciar a tu derecho de desistimiento de 14 días del servicio KOCOWA+ una vez que accedas y utilices los materiales de KOCOWA+.",订阅后，一旦您访问并使用KOCOWA+服务中的内容，即视为您同意放弃KOCOWA+服务的14天撤销权。,"Bằng cách bắt đầu đăng ký, bạn đồng ý từ bỏ quyền được hủy đăng ký dịch vụ KOCOWA+ trong vòng 14 ngày kể từ khi bạn truy cập và sử dụng các nội dung của KOCOWA+.
"
4,,You Might Also Like,Você também pode gostar,También te puede interesar,,
5,s_searchshowandmore,"Search shows, stars, and more…","Pesquisar séries, atores e muito mais","Buscar programas, estrellas y más...",,
2,w_episode_format,Episode {n},Episódio {n},Episodio {n},,
10,s_waitleave,Wait! Are you sure you want to leave them behind?,Espere! Tem certeza de que deseja perder acesso aos seus programas favoritos?,,,
21,s_finalstepcancellation,"This is the final step of your cancellation. Before you go, we’ve highlighted some popular shows you might miss out on.","Último passo para cancelar! Antes de ir, confira alguns títulos de sucesso que você vai perder.","Este es el último paso para cancelar. Antes de irte, echa un vistazo a los éxitos que te vas a perder.",,
6,s_muchdiscover,There’s still so much to discover.,Ainda há muito mais para explorar!,Aún hay mucho por descubrir.,,
2,s_keepwatching,Keep Watching,Continuar assistindo,Seguir viendo,,
2,s_keepwatchingex,Keep Watching!,Continue assistindo!,¡Seguir viendo!,,
7,s_surewantcancel,Are You Sure You Want to Cancel?,Tem certeza de que quer cancelar?,¿Estás seguro de que quieres cancelar?,,
11,s_cancelfinishbelow,"If you’re sure you’d like to cancel your plan, finish below.","Se tem certeza de que deseja cancelar sua assinatura, finalize o cancelamento abaixo.","Si estás seguro de que quieres cancelar tu plan, sigue con el proceso a continuación.",,
3,s_subcancelsuccess,Subscription Canceled Successfully,Assinatura cancelada com sucesso,Suscripción cancelada con éxito,,
7,s_subplansuccess,You have canceled a subscribed plan successfully.,Sua assinatura foi cancelada com sucesso.,Has cancelado con éxito un plan suscrito.,,
2,w_trendingsearches,Trending Searches,Pesquisas em Alta,Búsquedas de tendencias,,
1,w_title,Title,Título,Título,,
1,w_titles,Titles,Títulos,Títulos,,
7,s_discoverfavstory,Ready to Discover Your Next Favorite Story,Pronto para descobrir sua próxima história favorita?,Descubre tu próxima historia favorita,,
2,w_episodefeaturing,Episode Featuring,Episódio com  ,Episodio con,,
4,s_noresultsfor,"Sorry, no results for",Nenhum resultado para,"Lo sentimos, no hay resultados para",,
3,s_tryanotherkeyword,Try another keyword.,Tente outra palavra‑chave.,Probar otra palabra clave.,,